Time(ms),Time(s),gyro_x,gyro_y,gyro_z
1499000696704, 22774.040379315, 0.13235474, 0.6002197, -0.50671387
1499000696782, 22774.060490398002, 0.22581482, 0.48477173, -0.4040985
1499000696782, 22774.080662518, 0.18534851, -0.29862976, -0.35736084
1499000696783, 22774.100834637, -0.033187866, -0.5990143, -0.56199646
1499000696783, 22774.120945721002, -0.09915161, -0.38430786, -0.6994324
1499000696803, 22774.141087322, -0.11122131, -0.40293884, -0.7713623
1499000696824, 22774.161198406, -0.037765503, -0.46936035, -0.94636536
1499000696845, 22774.181370525002, -0.09136963, -0.24349976, -1.2275085
1499000696864, 22774.201512127, -0.3276062, 0.15551758, -1.3638763
1499000696885, 22774.221623211, -0.31340027, 0.36672974, -1.386322
1499000696905, 22774.241825848003, -0.07548523, 0.27555847, -1.488327
1499000696925, 22774.261936932002, 0.10731506, 0.17384338, -1.5662079
1499000696946, 22774.282078533, 0.13952637, -0.043762207, -1.7227478
1499000696966, 22774.302220135003, 0.22795105, -0.29725647, -1.866745
1499000696986, 22774.322361736, 0.33576965, -0.43347168, -1.9809723
1499000697005, 22774.342503338, 0.3414154, -0.39163208, -2.0475616
1499000697026, 22774.36264494, 0.24658203, -0.36001587, -2.0732117
1499000697046, 22774.382786541002, 0.19129944, -0.48631287, -2.1011658
1499000697066, 22774.402928143, 0.16595459, -0.64497375, -2.1988983
1499000697086, 22774.423039227, 0.14915466, -0.73339844, -2.2749481
1499000697106, 22774.443211346002, 0.14778137, -0.70973206, -2.3044128
1499000697127, 22774.463352947, 0.10914612, -0.65078735, -2.2882233
1499000697148, 22774.483494549, 0.093566895, -0.52189636, -2.2204285
1499000697167, 22774.503666668003, 0.11097717, -0.47868347, -2.1130676
1499000697187, 22774.523747234, 0.2716217, -0.5805359, -2.044815
1499000697207, 22774.543888836, 0.32095337, -0.9058075, -2.2709656
1499000697258, 22774.564060955003, -0.02508545, -1.1084595, -2.744522
1499000697258, 22774.584172039, -0.3925171, -0.89634705, -2.8531036
1499000697265, 22774.604313641, -0.70251465, -0.72424316, -2.6539612
1499000697286, 22774.624485760003, -0.92271423, -0.8505249, -2.308838
1499000697307, 22774.644596844002, -0.6507416, -1.0204926, -2.1798096
1499000697326, 22774.664768963, -0.19017029, -1.025528, -2.2486725
1499000697349, 22774.684910565, -0.09182739, -0.99560547, -2.497589
1499000697369, 22774.705052166002, -0.1481781, -1.0350037, -2.7715607
1499000697388, 22774.72516325, -0.25231934, -1.095932, -2.9677887
1499000697408, 22774.745335369, -0.19352722, -1.0052185, -3.054367
1499000697428, 22774.765476971002, -0.25079346, -0.8325043, -3.099884
1499000697450, 22774.785618572, -0.4100647, -0.6671295, -3.1438599
1499000697469, 22774.805790691, -0.45573425, -0.4870758, -3.1278229
1499000697489, 22774.825901775002, -0.46549988, -0.34490967, -3.0300903
1499000697509, 22774.846043377, -0.47039795, -0.29023743, -2.9760284
1499000697529, 22774.866184979, -0.48902893, -0.27008057, -2.9789429
1499000697550, 22774.886326580003, -0.52230835, -0.1986084, -3.0120697
1499000697570, 22774.906468182002, -0.5803375, -0.118896484, -3.0169525
1499000697590, 22774.926609783, -0.5966797, -0.03352356, -2.8628693
1499000697610, 22774.946751385003, -0.46107483, 0.0051116943, -2.6445007
1499000697630, 22774.966892986, -0.28485107, -0.028182983, -2.4740753
1499000697651, 22774.987034588, -0.24575806, -0.13859558, -2.4085693
1499000697671, 22775.00717619, -0.27064514, -0.20059204, -2.329605
1499000697691, 22775.027317791002, -0.067855835, -0.17250061, -2.1347504
1499000697711, 22775.047459393, 0.0045318604, -0.06452942, -1.8917999
1499000697765, 22775.067600994, -0.057006836, -0.027114868, -1.670517
1499000697766, 22775.087712078002, 0.022094727, -0.03642273, -1.5544586
1499000697770, 22775.107884197, 0.13342285, -0.1750946, -1.3382263
1499000697789, 22775.127964764, 0.31071472, -0.35757446, -1.2436981
1499000697809, 22775.148136883003, 0.29208374, -0.361557, -1.2882843
1499000697829, 22775.168247967, 0.11112976, -0.19952393, -1.2391052
1499000697851, 22775.188389568, -0.039138794, -0.1308136, -1.0274506
1499000697869, 22775.208561688003, -0.04724121, -0.20639038, -0.81900024
1499000697889, 22775.228703289, 0.13296509, -0.3456726, -0.70936584
1499000697912, 22775.248844891, 0.24520874, -0.42980957, -0.7215729
1499000697933, 22775.268986492003, 0.18014526, -0.45654297, -0.82725525
1499000697953, 22775.289128094002, -0.04600525, -0.411026, -0.9068146
1499000697972, 22775.309269695, -0.19642639, -0.23205566, -1.0583038
1499000697992, 22775.329380779, -0.48750305, -0.11798096, -1.1262512
1499000698012, 22775.349552898002, -0.5494995, -0.038879395, -0.995697
1499000698033, 22775.369663982, -0.37342834, -0.042541504, -0.79289246
1499000698053, 22775.389836102, -0.23078918, -0.09812927, -0.6779022
1499000698073, 22775.410008221002, -0.2185669, -0.17707825, -0.63238525
1499000698093, 22775.430119305, -0.24407959, -0.18135071, -0.5801697
1499000698114, 22775.450260906, -0.18008423, -0.1694336, -0.52549744
1499000698134, 22775.470402508003, -0.103897095, -0.18869019, -0.53312683
1499000698155, 22775.490544109, -0.06907654, -0.2131195, -0.54519653
1499000698174, 22775.510685711, -0.08555603, -0.27130127, -0.5902405
1499000698194, 22775.530827313003, -0.11595154, -0.34857178, -0.6401825
1499000698214, 22775.550968914, -0.17382813, -0.35987854, -0.66903687
1499000698284, 22775.571110516, -0.27661133, -0.2340393, -0.6479645
1499000698284, 22775.591252117003, -0.21658325, -0.11798096, -0.5798645
1499000698285, 22775.611393719002, -0.019897461, -0.26672363, -0.55114746
1499000698292, 22775.631504803, -0.009674072, -0.4820404, -0.5931549
1499000698313, 22775.651676922, -0.07609558, -0.54785156, -0.61161804
1499000698334, 22775.671818523002, -0.12098694, -0.4554596, -0.5667267
1499000698354, 22775.691929607, -0.12236023, -0.4059906, -0.5445862
1499000698373, 22775.712132244, -0.076553345, -0.3988037, -0.59039307
1499000698393, 22775.732212811003, -0.07563782, -0.39422607, -0.7533417
1499000698416, 22775.752354412, -0.2527771, -0.18196106, -0.85443115
1499000698436, 22775.772526531, -0.29415894, -0.022842407, -0.80862427
1499000698457, 22775.792698650002, -0.16069031, -0.15585327, -0.7374573
1499000698477, 22775.812840252, 0.0152282715, -0.29664612, -0.71333313
1499000698497, 22775.832951336, 0.03630066, -0.21846008, -0.68629456
1499000698516, 22775.853092938003, -0.19596863, -0.049560547, -0.61621094
1499000698536, 22775.873234539, -0.39328003, 0.13337708, -0.48762512
1499000698557, 22775.893376141, -0.45603943, 0.1990509, -0.40730286
1499000698576, 22775.913517742003, -0.4108429, 0.14178467, -0.30436707
1499000698597, 22775.933659344002, -0.29644775, -0.043304443, -0.31262207
1499000698617, 22775.953770428, -0.23017883, -0.12896729, -0.30177307
1499000698637, 22775.973942547, -0.18315125, -0.09063721, -0.2216034
1499000698658, 22775.994084148002, -0.07029724, -0.057510376, -0.12249756
1499000698678, 22776.01422575, 0.07600403, 0.044662476, -0.08798218
1499000698697, 22776.034336834, 0.11753845, 0.13200378, -0.09591675
1499000698722, 22776.054508953002, 0.1207428, 0.09214783, -0.10813904
1499000698773, 22776.074650555, 0.10089111, 0.04159546, -0.11088562
1499000698773, 22776.094792156, 0.12104797, 0.044815063, -0.061416626
1499000698775, 22776.114933758003, 0.14151001, 0.24104309, -0.033309937
1499000698796, 22776.135075359, 0.22000122, 0.4534607, 0.06335449
1499000698816, 22776.155186443, 0.3490448, 0.34977722, 0.16383362
1499000698836, 22776.175358563003, 0.3612671, 0.11428833, 0.21530151
1499000698857, 22776.195500164, 0.2962036, -0.024215698, 0.3214264
1499000698876, 22776.215672283, 0.43441772, 0.06375122, 0.36694336
1499000698896, 22776.23575285, 0.5440521, 0.08268738, 0.15254211
1499000698917, 22776.255924969002, 0.14654541, 0.1895752, -0.04324341
1499000698937, 22776.27606657, -0.1665039, 0.30426025, 0.078933716
1499000698958, 22776.296208172, -0.15000916, 0.103759766, 0.3087616
1499000698977, 22776.316380291002, 0.036758423, -0.07368469, 0.37167358
1499000698997, 22776.336491375, 0.08256531, -0.29496765, 0.44161987
1499000699017, 22776.356632977, 0.092041016, -0.2783203, 0.45428467
1499000699037, 22776.376805096002, 0.10975647, -0.16134644, 0.38191223
