Time(ms),Time(s),acce_x,acce_y,acce_z
1499429601632, 294515.273586674, 0.3471527, 1.575943, 9.907654
1499429601651, 294515.293728275, 0.4256134, 1.5367126, 9.966492
1499429601672, 294515.313869877, 0.4648285, 1.5171051, 9.946884
1499429601692, 294515.334011478, 0.4844513, 1.5171051, 9.868423
1499429601711, 294515.35415308, 0.50405884, 1.575943, 9.750748
1499429601732, 294515.374294682, 0.50405884, 1.575943, 9.672302
1499429601752, 294515.39443628304, 0.50405884, 1.5955505, 9.69191
1499429601776, 294515.414577885, 0.44522095, 1.5563354, 9.73114
1499429601792, 294515.43471948605, 0.4648285, 1.5367126, 9.672302
1499429601812, 294515.454861088, 0.44522095, 1.5563354, 9.829208
1499429601833, 294515.475002689, 0.4648285, 1.5367126, 9.829208
1499429601854, 294515.495144291, 0.50405884, 1.5367126, 9.848816
1499429601873, 294515.515285892, 0.5628967, 1.6347809, 9.848816
1499429601893, 294515.53542749403, 0.6413574, 1.6347809, 9.829208
1499429601913, 294515.555569096, 0.68058777, 1.6543884, 9.789978
1499429601934, 294515.575741215, 0.66096497, 1.6740112, 9.789978
1499429601953, 294515.595852299, 0.66096497, 1.6740112, 9.770355
1499429601973, 294515.6159939, 0.5432892, 1.5955505, 9.888046
1499429601994, 294515.636135502, 0.52368164, 1.5171051, 9.946884
1499429602014, 294515.656277103, 0.5628967, 1.4974823, 9.848816
1499429602035, 294515.676449223, 0.66096497, 1.5367126, 9.770355
1499429602054, 294515.696590824, 0.6413574, 1.5955505, 9.750748
1499429602076, 294515.716732426, 0.6021271, 1.5367126, 9.750748
1499429602094, 294515.73684351, 0.50405884, 1.5171051, 9.672302
1499429602115, 294515.75698511105, 0.4256134, 1.5367126, 9.652679
1499429602135, 294515.777126713, 0.4059906, 1.4974823, 9.750748
1499429602155, 294515.797268314, 0.5432892, 1.5171051, 9.888046
1499429602175, 294515.817409916, 0.58251953, 1.575943, 9.946884
1499429602195, 294515.837551517, 0.68058777, 1.6151733, 9.9861145
1499429602215, 294515.85769311903, 0.71980286, 1.6347809, 9.829208
1499429602237, 294515.877865238, 0.66096497, 1.6543884, 9.672302
1499429602256, 294515.89800684, 0.58251953, 1.6151733, 9.593842
1499429602276, 294515.918148441, 0.4844513, 1.4974823, 9.535004
1499429602296, 294515.938259525, 0.44522095, 1.5367126, 9.613449
1499429602317, 294515.958401127, 0.4648285, 1.5367126, 9.69191
1499429602336, 294515.97857324604, 0.4844513, 1.575943, 9.73114
1499429602358, 294515.99868433, 0.5628967, 1.5955505, 9.809586
1499429602377, 294516.018825932, 0.58251953, 1.6151733, 9.848816
1499429602397, 294516.03896753304, 0.6217346, 1.6543884, 9.848816
1499429602417, 294516.059109135, 0.6413574, 1.7132416, 9.73114
1499429602438, 294516.07925073605, 0.7001953, 1.7132416, 9.809586
1499429602461, 294516.099392338, 0.71980286, 1.6543884, 9.868423
1499429602478, 294516.11956445704, 0.68058777, 1.575943, 9.848816
1499429602498, 294516.139675541, 0.58251953, 1.5367126, 9.829208
1499429602518, 294516.15984766, 0.5432892, 1.575943, 9.750748
1499429602539, 294516.17995874403, 0.5628967, 1.5171051, 9.672302
1499429602560, 294516.200100346, 0.58251953, 1.5367126, 9.613449
1499429602579, 294516.22024194704, 0.66096497, 1.5367126, 9.652679
1499429602599, 294516.240383549, 0.6217346, 1.5955505, 9.69191
1499429602620, 294516.26052515, 0.5432892, 1.6347809, 9.633072
1499429602640, 294516.280666752, 0.5628967, 1.6543884, 9.613449
1499429602661, 294516.300808353, 0.52368164, 1.6543884, 9.672302
1499429602679, 294516.320949955, 0.4844513, 1.6936188, 9.750748
1499429602700, 294516.341091557, 0.50405884, 1.6543884, 9.927261
1499429602720, 294516.36123315804, 0.58251953, 1.6543884, 9.927261
1499429602740, 294516.38137476, 0.52368164, 1.575943, 9.888046
